period,stock_id,vendor,data_type,report_index,report_index_description,report_index_standard,report_index_value,report_index_analysis,report_index_note,report_score,report_signal,report_score_detail,report_score_summary,report_risk
2025Q4,1582,信錦,2,,,,,,,52,黃燈,"短期償債能力極佳：流動比、速動比、現金比、負債對淨值比率、長期負債等皆優於標準，顯示公司財務結構穩健。
獲利能力明顯不足：每股盈餘、營業利益率、稅後淨利率、資產報酬率、股東權益報酬率、每股盈餘年成長率等多項指標低於標準，獲利能力衰退。
營運效率偏弱：應收帳款佔營收比率過高、週轉率偏低、總資產週轉率不足，顯示營運資金管理有待改善。
存貨及現金管理需注意：存貨佔營收比率偏高，現金比過高，資金運用效率需提升。",信錦公司財務結構與短期償債能力表現優異，但獲利能力與營運效率明顯不足，部分指標有較大風險，整體評分為52分，屬於黃燈區，需積極改善營運與獲利狀況。,信錦公司2025Q4財務結構穩健，短期償債能力極佳，負債壓力小，長期負債極低。然而，獲利能力與營運效率明顯不足，應收帳款佔營收比率過高且週轉率偏低，代表收款風險大，存貨佔營收比率偏高亦需注意。最重要的風險在於獲利能力衰退與營運資金管理不佳，建議加強營收成長、優化收款及存貨管理、提升資產運用效率，並審慎規劃資金運用以改善現金流量與獲利能力。
2025Q4,5228,鈺鎧,2,,,,,,,54,黃燈,"公司在獲利能力（如營業利益率、營業毛利率、稅後淨利率）表現優異，顯示產品具競爭力。
流動比、現金比等短期償債能力指標表現良好，但速動比低於標準，需注意資金調度。
存貨及應收帳款佔比過高，週轉率偏低，顯示營運資金管理有待加強，易形成資金壓力。
負債對淨值比率及長期負債偏高，槓桿風險需持續關注，資產運用效率亦有提升空間。",鈺鎧公司2025Q4財報顯示獲利能力強，短期償債力尚可，但營運資金管理及長期負債結構存在明顯風險，資產運用效率偏低，綜合評分為54分，屬於黃燈區間，需積極改善營運週轉與負債結構。,鈺鎧公司目前主要風險在於存貨與應收帳款佔比過高，週轉率低，易導致資金壓力及呆帳風險，此外長期負債及負債對淨值比率偏高，增加財務槓桿壓力。建議公司應加強存貨與應收帳款管理，提升資產週轉效率，並審慎規劃負債結構，降低長期負債比例，以提升整體財務穩健度。
2025Q4,6226,光鼎,2,,,,,,,38,紅燈,"獲利能力極弱：利息保障倍數、稅後淨利率、營業利益率、每股稅後盈餘皆為負數，顯示公司處於虧損狀態。
營運效率低：存貨週轉率、總資產週轉率、應收帳款週轉率均低於標準，資金與資產運用效率不佳。
短期償債能力不足：流動比、速動比、現金流量比均低於標準，雖現金比優於標準，但整體短期償債能力仍有壓力。
資本結構穩健但無法帶動獲利：股東權益總額、負債對淨值比率、長期負債比率皆優於標準，資本結構良好，但資產報酬率與股東權益報酬率均為負，未能有效創造價值。",光鼎公司在資本結構與現金短期償債能力部分表現尚可，但營運效率與獲利能力極差，且多項指標嚴重低於標準，整體財務風險極高，因此評分為38分，屬於紅燈區。,光鼎公司2025Q4財務狀況顯示最嚴重的風險在於獲利能力與營運效率極差，營業與淨利皆為負數，無法有效支付利息，且存貨與應收帳款積壓嚴重，資金回收效率極低。建議公司應積極改善營運效率，強化銷售與收款管理，降低庫存與應收帳款，並檢討成本結構與產品線，提升獲利能力，否則將面臨持續虧損與資金斷鏈的危機。
2025Q4,3588,通嘉,2,,,,,,,52,黃燈,"償債能力極佳：流動比、速動比、現金比、現金流量比等皆遠高於標準，顯示公司短期償債能力無虞。
獲利能力低弱：每股盈餘、營業利益率、稅後淨利率、資產報酬率、股東權益報酬率等多項指標均低於標準，顯示公司獲利能力不足。
資產結構穩健：股東權益總額、負債對淨值比率、負債總額、長期負債等皆優於標準，資本結構安全。
營運效率不佳：存貨週轉率、應收帳款週轉率、總資產週轉率等均低於標準，存貨與應收帳款積壓，營運效率需改善。",償債能力與資本結構表現優異，但獲利能力及營運效率指標多數低於標準，整體評分為52，屬於黃燈區，需關注營運與獲利改善。,通嘉公司2025Q4財務狀況顯示短期償債能力與資本結構極為穩健，無負債壓力，但營運效率與獲利能力明顯不足，存貨與應收帳款積壓嚴重，獲利指標多數低於標準。最重要的風險為營運效率低下與獲利能力衰退，建議公司加強存貨管理、提升應收帳款收回速度、調整產品結構與成本控制，以改善獲利能力與營運效率，降低財務風險。
2025Q4,8182,加高,2,,,,,,,42,黃燈,"流動比、現金比、速動比、股東權益總額、負債對淨值比率、長期負債等指標皆優於標準，顯示公司短期及長期償債能力穩健。
存貨佔營收比率、存貨週轉率、應收帳款佔營收比率、應收帳款週轉率等流動資產管理指標皆劣於標準，反映營運資金管理不佳，資金回收與庫存積壓嚴重。
獲利能力相關指標如每股盈餘、營業利益率、毛利率、淨利率、資產報酬率、股東權益報酬率皆低於標準，顯示公司獲利能力明顯不足。
現金流量比為負，營運現金流量不足，需注意營運現金流入的穩定性。",雖然加高公司在資本結構與償債能力方面表現優異，但營運資金管理與獲利能力明顯落後於產業標準，導致整體評分偏低，僅達黃燈。主要扣分來自於存貨與應收帳款管理、現金流量及獲利指標。,加高公司2025Q4財務狀況顯示，雖然資本結構穩健、短期與長期償債能力充足，但營運資金管理極為不理想，存貨積壓與應收帳款回收效率低下，導致現金流量為負且獲利能力持續下滑。最重要的風險為營運資金管理不佳與獲利能力衰退，建議公司應加強庫存與應收帳款管理、提升資產運用效率，並改善營運現金流，否則將影響未來資金周轉與獲利表現。
2025Q4,6462,神盾,2,,,,,,,38,紅燈,"獲利能力極差：如利息保障倍數、每股稅後盈餘、營業利益率、稅後淨利率、資產報酬率等多項指標皆嚴重低於標準，顯示公司持續虧損且無法支撐利息支出。
現金流量壓力：現金流量比、速動比低於標準，顯示短期現金流量吃緊，雖然現金比高但營運現金流不佳。
資本結構穩健：股東權益總額、負債對淨值比率、負債總額、長期負債等指標均優於標準，顯示公司資本結構健康，財務槓桿風險低。
存貨與應收帳款風險高：存貨佔營收比率、應收帳款佔營收比率明顯過高，表示營運資金被佔用，存在存貨跌價及應收帳款回收風險。",神盾公司雖然資本結構穩健、現金水位充足，但獲利能力嚴重不足且現金流量緊張，存貨與應收帳款風險偏高，整體財務風險偏高，因此評分偏低，屬於紅燈警戒。,神盾公司2025Q4財報顯示，公司面臨最嚴重的風險在於持續虧損與現金流量壓力。多項獲利指標皆為負值，代表本業經營困難，且現金流量比低於標準，若無法改善營運績效，未來恐將面臨資金斷鏈危機。建議公司應積極提升營運效率、加快存貨及應收帳款週轉，並審慎控管成本，尋求業外損失來源並加以改善，以降低財務風險。
2025Q4,8163,達方,2,,,,,,,28,紅燈,"流動性風險極高：存貨、應收帳款比率遠高於標準，現金流量為負，短期償債能力不足。
獲利能力嚴重不足：多項獲利指標（每股盈餘、營業利益率、淨利率、資產報酬率等）皆為負或極低，顯示本業與整體獲利能力極弱。
資本結構偏弱：負債對淨值比率過高，股東權益比例偏低，資本結構不穩健，財務壓力大。
資產運用效率需提升：固定資產週轉率、總資產週轉率皆低於標準，資產未有效創造收益。",多數財務指標皆劣於一般標準，流動性、獲利能力及資本結構均有重大缺陷，僅現金比、業外損益比、流動負債比、長期負債比符合標準，故評分為28分，屬高風險狀態。,達方公司2025Q4財務狀況顯示流動性與獲利能力皆極度不足，存貨與應收帳款積壓嚴重，現金流量為負，短期償債能力不佳。負債對淨值比率過高，資本結構不穩健，資產運用效率低。最重要的風險為流動性危機與獲利能力衰退，建議公司積極改善存貨管理、加速應收帳款回收、強化本業獲利能力，並審慎控制負債，提升資本結構穩健度，以降低財務風險。
2025Q4,2382,廣達,2,,,,,,,37,紅燈,"償債能力多項指標（流動比、速動比、現金比、現金流量比、負債對淨值比率、負債總額）明顯低於標準，顯示短期與長期償債壓力大。
營運效率雖有部分指標（固定資產週轉率、總資產週轉率）優於標準，但存貨、應收帳款相關指標皆偏弱，資金周轉效率不佳。
獲利能力指標（營業利益率、營業毛利率、稅後淨利率、資產報酬率）多數低於標準，顯示獲利能力有待提升。
資本結構偏向高負債，股東權益偏低，財務槓桿風險高，若遇景氣逆轉將有較大財務壓力。",本次評分主要反映廣達公司在償債能力、資本結構及營運資金管理方面的重大風險。雖然部分效率及獲利指標表現不錯，但整體財務風險偏高，因此給予較低分數與紅燈警示。,廣達公司2025Q4財務狀況顯示，償債能力與資本結構風險最為突出。負債比率過高、流動資產不足、現金流量為負，若未改善資金管理與降低負債，將面臨流動性危機。建議積極優化庫存、應收帳款管理，加強現金流量控管，並逐步降低負債比率，以提升財務安全性和抗風險能力。
2025Q4,2327,國巨,2,,,,,,,54,黃燈,"存貨、應收帳款等周轉與佔比指標明顯劣於標準，顯示營運資金管理與現金流壓力需特別關注。
獲利能力指標（如營業利益率、毛利率、稅後淨利率）表現優異，顯示核心營運仍具競爭力。
現金流量比、流動比、速動比等短期償債能力指標偏低，短期資金調度風險上升。
負債對淨值比率偏高，資產運用效率與股東報酬能力皆低於標準，需警惕財務槓桿與資本結構風險。",國巨2025Q4在獲利能力維持強勁，但營運資金管理、現金流量與資產運用效率明顯弱於標準，短期與中長期財務風險並存，因此評分為54分，屬於需密切觀察的黃燈區間。,國巨公司2025Q4財務結構顯示，雖然獲利能力維持良好，但存貨與應收帳款佔比過高、週轉率偏低，導致現金流量比與短期償債能力指標明顯不足，且負債對淨值比率偏高，資本結構風險上升。最重要的風險在於營運資金管理與現金流量壓力，建議強化存貨與應收帳款管理、加速資產週轉，並審慎控管負債，以提升整體財務穩健度。
2025Q4,6411,晶焱,2,,,,,,,52,黃燈,"短期償債能力極佳：流動比、速動比、現金比、流動負債、負債總額等指標均優於標準，顯示公司短期財務安全。
資本結構穩健：股東權益總額、負債對淨值比率等指標均優於標準，長期財務風險較低。
獲利能力明顯下滑：每股盈餘、成長率、營業利益率、稅後淨利率、資產報酬率、股東權益報酬率等多項獲利指標均低於標準，顯示本業獲利能力不足。
營運效率不佳：存貨、應收帳款相關指標均劣於標準，資金回收與存貨管理有明顯風險，且總資產週轉率偏低。",雖然晶焱公司短期償債與資本結構安全，但本業獲利能力與營運效率明顯不足，存貨與應收帳款積壓嚴重，導致整體評分偏低，僅獲黃燈。,晶焱公司2025Q4財務結構穩健，短期償債能力極佳，但營運效率與獲利能力明顯不足，尤其存貨與應收帳款過高，資金回收風險大。本業獲利能力衰退，需加強營運管理與銷售效率，改善存貨與應收帳款週轉，並提升本業獲利能力，否則將影響未來財務穩健與股東回報。
2025Q4,3036,文曄,2,,,,,,,38,紅燈,"償債能力指標（如流動比、速動比、現金比、現金流量比）多數低於標準，顯示短期償債壓力大。
負債結構偏高（負債對淨值比率、負債總額、流動負債、應付帳款），財務槓桿風險明顯。
獲利能力指標（營業利益率、毛利率、稅後淨利率、資產報酬率）普遍低於標準，獲利能力薄弱。
少數指標表現優異（如固定資產週轉率、每股盈餘成長、總資產週轉率、長期負債比），資產運用效率高，長期負債壓力小。",文曄公司在資產運用效率與獲利成長性上有亮點，但多數償債能力、資本結構及獲利能力指標明顯不佳，整體財務風險偏高，因此評分偏低並給予紅燈警示。,文曄公司2025Q4財務結構顯示，償債能力與資本結構明顯偏弱，負債對淨值比率與流動負債比高，現金流量與現金比嚴重不足，短期資金壓力大，若遇營運逆風恐有流動性風險。建議加強現金流管理，改善存貨與應收帳款週轉效率，降低負債比重，提升獲利能力，以強化財務體質並降低財務風險。
2025Q4,8112,至上,2,,,,,,,46,黃燈,"償債能力指標如流動比、利息保障倍數表現良好，但速動比、現金比略低，現金流量比為負，短期流動性需注意。
獲利能力指標（如營業毛利率、營業利益率、稅後淨利率、資產報酬率）多數低於標準，顯示公司獲利能力偏弱。
資本結構方面，負債比率、負債對淨值比率明顯偏高，股東權益比率偏低，財務槓桿過高，潛在風險大。
資產運用效率（如固定資產週轉率、總資產週轉率、應收帳款週轉率）表現優異，但存貨及應收帳款佔比偏高，需加強管理。",雖然公司在資產運用效率及部分獲利成長指標上表現亮眼，但財務結構偏弱、負債比率過高、流動性壓力及獲利能力不足拉低整體評分，因此給予46分，屬於黃燈等級，需持續關注財務風險。,至上公司2025Q4財務結構顯示高槓桿及流動性風險，雖然資產運用效率極佳，但存貨及應收帳款佔比過高，獲利能力偏弱，且現金流量為負，短期現金調度壓力大。建議公司加強存貨及應收帳款管理，提升營運現金流，並逐步改善資本結構，降低負債比率，以減緩財務風險並提升長期穩健成長能力。
2025Q4,6412,群電,2,,,,,,,53,黃燈,"流動比、速動比、現金比及利息保障倍數均優於標準，短期償債能力強，現金水位充足。
存貨、應收帳款比率及週轉率皆明顯劣於標準，顯示資金週轉壓力大，營運效率偏弱。
獲利能力指標（如每股盈餘年成長率、營業利益率、資產報酬率、股東權益報酬率）多數低於標準，獲利能力需加強。
財務結構尚可，負債比率雖略高但未過臨界值，長期負債極低，槓桿風險可控。",群電公司短期償債能力與現金水位表現良好，但營運效率與獲利能力明顯偏弱，且存貨及應收帳款管理需加強，故評分為53分，屬黃燈區間，需持續改善營運效率與獲利結構。,群電公司2025Q4財務結構尚稱穩健，短期償債能力強，現金充裕，長期負債極低，顯示財務安全性佳。然而，存貨與應收帳款佔比過高且週轉效率偏低，營運資金壓力大，若未有效改善，恐影響現金流與整體獲利能力。獲利能力指標亦多數不達標，顯示公司在市場競爭或成本控管上面臨壓力。建議加強存貨與應收帳款管理、提升營運效率，並檢討獲利模式，以改善整體財務體質，降低營運風險。
2025Q4,3594,磐儀,2,,,,,,,53,黃燈,"流動比、現金比、現金流量比等短期償債能力指標皆符合標準，顯示公司短期資金流動性良好。
存貨佔營收比率、存貨週轉率、應收帳款相關指標均明顯劣於標準，顯示資金回收及存貨管理風險高。
獲利能力指標（稅後淨利率、營業毛利率）優於標準，但每股盈餘及成長率偏低，獲利穩定性不足。
資產運用效率（總資產週轉率、資產報酬率）及速動比皆低於標準，顯示資產活化與速動償債能力需加強。",本期評分為53分，主要因流動性與現金流量表現良好，但存貨與應收帳款管理不佳，資產運用效率偏低，獲利能力雖有部分指標優異，但整體成長性不足，故給予黃燈評價。,磐儀公司2025Q4財務狀況整體流動性與現金流量穩健，短期償債能力良好，但存貨積壓嚴重、應收帳款回收效率低，資產運用效率與速動償債能力偏弱，獲利成長性不足。最重要的風險為存貨與應收帳款管理，建議加強存貨控管、提升銷售效率與收款速度，並優化資產運用結構，以提升獲利與資金回收能力，降低財務風險。
2025Q4,2356,英業達,2,,,,,,,38,紅燈,"短期償債能力指標（如流動比、速動比、現金流量比）均低於標準，顯示短期資金壓力大。
獲利能力與成長性指標（如每股盈餘、淨利率、毛利率、ROE、ROA）普遍低於標準，顯示營運獲利能力弱。
負債結構偏高（如負債對淨值比率、流動負債、負債總額），財務槓桿過高，資本結構不佳。
存貨及應收帳款相關指標（如存貨佔營收比、應收帳款佔營收比）過高，資金周轉風險明顯。",英業達2025Q4在營運效率上有亮點（如固定資產週轉率、總資產週轉率），但整體獲利能力、短期償債能力及資本結構均明顯劣於一般標準，且應收帳款及存貨積壓嚴重，財務風險偏高，因此評分為38分，屬於紅燈等級。,英業達公司2025Q4財務結構顯示，短期償債能力與獲利能力皆偏弱，負債比率過高，應收帳款與存貨占比過大，資金周轉壓力明顯。最重要的風險在於短期債務壓力與資本結構不佳，若未有效改善，將影響公司持續經營與融資能力。建議加強應收帳款管理、降低存貨水位、提升獲利能力，並逐步優化資本結構，以降低財務風險。
2025Q4,6109,亞元 ,2,,,,,,,54,黃燈,"短期償債能力（流動比、速動比、現金比）明顯優於標準，顯示公司資金流動性強。
應收帳款與存貨相關指標（應收帳款佔營收比率、存貨佔營收比率、週轉率）遠低於標準，反映資金周轉與營運效率問題。
獲利能力（每股稅後盈餘、營業利益率、稅後淨利率、ROE、ROA）普遍低於標準，顯示公司營運成效仍待提升。
資本結構穩健（股東權益比率、負債比率、長期負債為零），但現金流量比為負，需注意經營現金流風險。",亞元公司在流動性與資本結構方面表現良好，但營運效率、獲利能力及現金流量皆有明顯弱點，整體財務風險屬於中度，評分54分，屬於黃燈區間。,亞元公司2025Q4財務結構穩健，短期償債能力強，且無長期負債壓力。然而，營運效率（特別是應收帳款與存貨周轉）、現金流量及獲利能力均明顯落後同業標準，反映公司在資金管理及營運成效上存在較大風險。建議公司加強應收帳款管理、優化存貨結構、提升現金流入，並積極改善營運效率與獲利能力，以降低財務風險，提升整體競爭力。
2025Q4,2352,佳世達,2,,,,,,,23,紅燈,"流動性與償債能力指標多數低於標準，如流動比、速動比、現金流量比，顯示短期償債壓力大。
獲利能力極弱，包括每股盈餘、淨利率、營業利益率、股東權益報酬率等皆遠低於標準，且獲利成長率大幅衰退。
資本結構偏弱，負債比率過高，負債對淨值比率顯著超標，財務槓桿風險大。
營運效率指標如存貨、應收帳款週轉率及其佔營收比率皆不佳，資金回收慢且庫存壓力大。",佳世達公司多數財務指標明顯劣於一般標準，流動性、獲利能力、資本結構及營運效率均存在重大風險，僅少數指標如現金比、固定資產週轉率、長期負債控制尚可，整體評分偏低，故給予23分及紅燈警示。,佳世達公司2025Q4財務狀況顯示多項指標遠低於產業標準，最重要的風險為高負債比率與極弱的獲利能力，短期償債能力不足、庫存與應收帳款積壓嚴重，現金流量偏低，若未改善營運效率與獲利能力，將面臨資金斷鏈與財務危機。建議積極縮減庫存、加速應收帳款回收、降低負債比率、提升獲利能力，並強化現金流管理以降低財務風險。
2025Q4,6210,慶生,2,,,,,,,38,紅燈,"獲利能力指標（如營業利益率、毛利率、稅後淨利率、每股盈餘）皆為負值，顯示公司營運持續虧損，獲利能力極差。
現金流量比、利息保障倍數等指標顯示公司營運現金流與償債能力惡化，短期內有資金壓力。
應收帳款及存貨相關指標顯示資金大量卡在存貨與應收帳款，流動性風險高，收現能力極差。
儘管資本結構健全（股東權益高、負債低），但營運效率與獲利能力不足，無法支撐長期發展。",慶生公司雖然資本結構穩健、短期償債能力尚可，但營運持續虧損、現金流惡化、資金卡在存貨與應收帳款，導致整體財務風險極高，評分僅38分，屬於紅燈警戒區。,慶生公司2025Q4財務狀況顯示最嚴重的風險來自於營運虧損與現金流惡化，尤其是應收帳款與存貨占用過高，導致資金周轉困難。建議公司應立即檢討銷售與收款政策，加強應收帳款管理、降低存貨水位，同時積極改善營運效率與獲利能力，否則將面臨更嚴重的財務危機。
2025Q4,6715,嘉基,2,,,,,,,54,黃燈,"流動比、速動比、現金比、負債比率等短期與長期償債能力指標皆遠優於標準，顯示公司資本結構穩健，短期償債風險極低。
應收帳款佔營收比率、存貨佔營收比率及其週轉率皆明顯劣於標準，顯示公司流動資產變現效率不佳，資金回收風險高。
獲利能力指標如每股盈餘、EPS年成長率、資產報酬率、股東權益報酬率皆低於標準，顯示獲利能力與成長性不足。
資產運用效率（總資產週轉率、固定資產週轉率）偏低，顯示資產尚未有效發揮效益，需加強營運效率。",嘉基公司在償債能力與資本結構上表現優異，但流動資產管理（應收帳款、存貨）及獲利成長性明顯偏弱，資產運用效率亦有待提升，整體財務風險偏中等，評分為54分，屬黃燈等級。,嘉基公司2025Q4財務結構穩健，短期與長期償債能力極強，負債壓力低，現金充裕。然而，應收帳款與存貨佔營收比率過高，週轉率偏低，顯示資金回收緩慢、流動性風險高。此外，獲利能力與成長性不足，資產運用效率低，恐影響長期競爭力。建議強化應收帳款管理、加速存貨去化、提升營運效率，同時積極尋求成長動能，以降低資金占用風險並提升整體獲利能力。
2025Q4,3048,益登,2,,,,,,,38,紅燈,"資本結構風險：負債對淨值比率、負債總額、股東權益總額均劣於標準，顯示資本結構極度偏弱。
獲利能力不足：營業利益率、毛利率、稅後淨利率、每股盈餘均低於標準，獲利能力明顯偏弱。
流動性風險：現金流量比為負、速動比偏低，短期償債能力不足，現金流壓力大。
資產運用效率佳：固定資產週轉率、總資產週轉率、存貨週轉率、應收帳款週轉率均優於標準，資產運用效率良好。",益登公司資產運用效率雖佳，但資本結構、獲利能力及流動性均明顯低於標準，綜合評分僅38分，風險極高。,益登公司2025Q4財務狀況顯示，最重要的風險在於資本結構與流動性。負債對淨值比率高達400.3，負債總額占資產80%，股東權益偏低，顯示公司高度依賴負債，資本結構極度脆弱。現金流量比為負且速動比低於標準，短期償債能力不足，現金流壓力大。獲利能力亦偏弱，營業利益率、毛利率、淨利率均低於標準。建議公司積極改善資本結構，降低負債比率，提升現金流量，並加強獲利能力，以降低財務風險。
2025Q4,6441,廣錠,2,,,,,,,23,紅燈,"獲利能力指標（如營業利益率、營業毛利率、稅後淨利率、每股稅後盈餘等）皆嚴重負值，顯示公司營運持續虧損，獲利能力極差。
資產與負債結構尚屬穩健（如股東權益總額、負債總額、負債對淨值比率），但資產使用效率極低（如固定資產週轉率、總資產週轉率）。
現金流量與流動性指標（如現金流量比、速動比、流動比）多數低於標準，短期償債能力不足，現金流量負數，營運資金壓力大。
存貨與應收帳款管理不佳（存貨佔營收比率、存貨週轉率、應收帳款佔營收比率、應收帳款週轉率），資金回流慢且存貨積壓嚴重，流動性風險高。",根據25項財務指標，僅有3項優於標準、2項符合標準，其餘20項皆劣於標準，主要獲利能力、現金流量、存貨與應收帳款管理皆極差，評分為23分，燈號紅燈，財務風險極高。,廣錠公司2025Q4財務狀況極為不佳，主要風險在於營運持續虧損、現金流量負數、存貨積壓與應收帳款回收效率低，導致流動性風險與償債能力不足。建議公司應積極改善營運效率、加強存貨與應收帳款管理、提升現金流量，並檢討資產使用效率，必要時調整營運策略以降低財務危機。
2025Q4,6818,連騰,2,,,,,,,43,黃燈,"短期償債能力(流動比、速動比)表現優良，但現金比略低，現金水位需提升。
資本結構偏弱(負債對淨值比率、股東權益總額、負債總額、資產負債比率皆劣於標準)，財務槓桿較高，風險偏高。
獲利能力(每股稅後盈餘、營業利益率、稅後淨利率、資產報酬率、股東權益報酬率)多項指標略低於標準，需提升營運效率與獲利能力。
現金流量指標(營業現金流量比率、現金流量適足比率)皆低於標準，短期債務壓力大，需改善現金流量管理。",連騰公司多項財務指標劣於一般標準，尤其資本結構、現金流量與獲利能力皆需加強，僅短期償債能力與資產運用效率表現較佳，綜合評分為43，屬於黃燈區間，顯示公司財務風險偏高，需積極改善。,連騰公司2025Q4財務狀況顯示：雖然短期償債能力尚可，但現金水位偏低、資本結構不佳、負債比率偏高，且獲利能力與現金流量指標皆劣於標準。最重要的風險為資本結構與現金流量不足，建議公司提升現金水位、加強獲利能力、降低負債比率，並優化營運現金流量管理，以降低財務風險並提升整體競爭力。
2025Q4,6160,欣技,2,,,,,,,44,黃燈,"獲利能力極差：如利息保障倍數、每股稅後盈餘、稅後淨利率、營業利益率等指標均遠低於標準，顯示公司持續虧損且無法有效獲利。
資產運用效率部分良好：固定資產週轉率、總資產週轉率、營業毛利率表現優異，但存貨週轉率及存貨佔營收比率顯示存貨積壓問題嚴重。
短期償債能力尚可：流動比、現金比、流動負債比率等指標優於標準，顯示公司短期償債能力尚可，但現金流量比為負值，需注意現金流壓力。
資本結構穩健但經營風險高：股東權益總額、負債對淨值比率、長期負債比率等均優於標準，負債壓力不大，但整體經營績效不佳，潛在風險高。",雖然欣技公司在資本結構和部分資產運用效率上表現良好，但獲利能力極差、現金流量為負、存貨與應收帳款積壓嚴重，導致整體評分僅44分，屬於黃燈警戒區，建議高度重視營運與現金流風險。,欣技公司2025Q4財務狀況顯示，最嚴重的風險在於持續虧損、現金流量為負、存貨與應收帳款積壓。這將導致公司資金壓力加劇，若無法改善營運效率及加強收現，未來可能面臨資金斷鏈風險。建議公司應積極檢討產品結構、加速存貨去化、強化應收帳款管理，並改善營運現金流，降低財務風險。
2025Q4,3064,泰偉,2,,,,,,,22,紅燈,"獲利能力極差：如營業利益率、稅後淨利率、每股盈餘等皆為負數，顯示公司核心業務嚴重虧損。
資本結構脆弱：負債對淨值比率、負債總額、股東權益總額等指標顯示公司高度槓桿，資本安全性不足。
現金流與流動性風險：流動比、速動比、現金流量比皆低於標準，短期償債能力不足，營運現金流為負。
營運效率低落：資產週轉率、固定資產週轉率、存貨週轉率、應收帳款週轉率等均低於標準，資產與營運效率差。",泰偉公司多數財務指標明顯劣於一般標準，僅現金比與毛利率優於標準，但無法彌補獲利能力、資本結構與現金流的重大缺陷，整體財務風險極高，因此評分為22分，屬於紅燈警示。,泰偉公司2025Q4財務狀況極為嚴峻，最大風險為獲利能力嚴重不足與資本結構脆弱，導致償債能力與現金流持續惡化。建議公司應積極改善營運效率、加強收款管理、降低負債比例，並檢討核心業務以提升獲利能力，否則有資金斷裂及營運危機之虞。
2025Q4,2483,百容,2,,,,,,,38,紅燈,"獲利能力指標（如營業利益率、稅後淨利率、每股稅後盈餘、資產報酬率、股東權益報酬率）多數為負，顯示公司本業及整體獲利能力極弱。
現金流量比、應收帳款及存貨相關指標嚴重惡化，顯示資金回收不順、存貨積壓，流動性風險極高。
償債能力指標（流動比、速動比、現金比）尚可，且負債結構穩健，短期內不致於出現立即性違約風險。
資產運用效率（固定資產週轉率、總資產週轉率）明顯偏低，反映經營效率不佳，資產未能有效創造收益。",百容公司2025Q4多項關鍵財務指標嚴重不符標準，獲利能力與現金流量表現極差，營運風險高，僅有資本結構與短期償債能力尚可，整體評分偏低，屬高風險企業。,百容公司2025Q4財務狀況顯示，公司面臨嚴重的獲利能力不足與現金流量短缺問題，尤其是存貨與應收帳款積壓，導致資金回收困難，營運現金流持續為負，若未能改善營運效率與加強資金管理，未來將面臨更高的財務壓力與倒閉風險。建議公司應積極處理存貨與應收帳款，提升本業獲利能力，並審慎控管成本與資產運用，以降低整體財務風險。
2025Q4,4967,TeamGroup,2,,,,,,,58,黃燈,"獲利能力優異：如每股稅後盈餘、EPS年成長率、營業利益率、稅後淨利率、資產報酬率等皆遠高於標準，顯示公司營運績效良好。
資產運用效率高：固定資產週轉率、總資產週轉率等指標顯示資產運用效率佳。
流動性及現金流風險：現金比、現金流量比、速動比、存貨週轉率、存貨佔營收比率等皆劣於標準，顯示短期流動性與庫存管理存在明顯風險。
資本結構偏高負債：負債對淨值比率、負債總額、流動負債等均高於標準，槓桿風險與短期償債壓力需高度關注。",雖然獲利能力與資產運用效率表現優異，但流動性、現金流、庫存與負債結構存在較大風險，整體評分為58分，屬於黃燈區，需密切關注財務健康。,TeamGroup公司2025Q4雖然獲利能力及資產運用效率極佳，但短期流動性、現金流量、庫存管理及資本結構存在明顯風險。最重要的風險為庫存過高與現金流量不足，可能導致短期償債壓力。建議加強庫存管理、提升現金流量、降低負債比率，並優化資本結構，以降低財務風險並提升整體財務健康。
2025Q4,3033,威健,2,,,,,,,36,紅燈,"流動比、利息保障倍數、固定資產週轉率、總資產週轉率、長期負債等指標優於標準，顯示短期償債能力與資產運用效率良好。
存貨、應收帳款、現金流量比、現金比等流動性與資金回收指標皆劣於標準，存在資金流動與回收風險。
負債對淨值比率、負債總額、股東權益總額等資本結構指標皆劣於標準，顯示公司財務槓桿極高，資本結構風險大。
營業利益率、毛利率、稅後淨利率、資產報酬率、股東權益報酬率等獲利能力指標皆劣於標準，獲利能力偏弱。",本次評分主要反映威健公司雖然資產運用效率與短期償債能力尚可，但因流動性、資金回收、資本結構及獲利能力多項指標劣於標準，整體財務風險偏高，因此評分為36分，屬紅燈區。,威健公司2025Q4財務風險主要集中於資本結構過度依賴負債（負債對淨值比率高達312.1，負債總額佔資產75.73%），流動性不足（現金流量比、現金比、速動比皆低於標準），存貨與應收帳款積壓嚴重，獲利能力偏弱。最重要的風險為資金流動與資本結構，若未改善，將嚴重影響公司營運與償債能力。建議公司加強現金流管理、降低存貨與應收帳款比率、提升獲利能力，並逐步改善資本結構以降低財務槓桿。
